CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
21,The Salt Creek Valley Bank,Ohio,0,4/10/1923,160,35426,4651,6/30/2007
21,North Middletown Deposit Bank,Kentucky,0,01/01/1869,,,,
21,The Dawson Bank,Nebraska,0,07/01/1887,81,8160,524,6/30/1991
21,The Bank of Perry,Kansas,0,01/12/1893,130,32981,3015,6/30/2002
21,Mendon State Bank,Illinois,0,1/1/1914,-429,18891,1130,6/30/1986
3,Chase Manhattan Bank of Western New York (National Association),New York,0,1/22/1934,,,,
3,Ellis First National Bank in Tarpon Springs,Florida,0,1/29/1934,352,84580,6652,6/30/1984
21,Citizens Union Bank,Tennessee,0,01/01/1887,741,245321,24305,3/31/1993
21,Bank of Pleasanton,Kansas,0,03/19/1887,-873,12715,-235,6/30/1989
21,Meridian Bank,Illinois,0,10/12/1910,-2219,38223,1878,9/30/2008
